,Time,Currency,Headline,Actual,Forecast,Previous,DayOfWeek,YYYYMMDD,identifier
16714,12:30:00,CAD,Foreign Securities Purchases by Canadians (Jul),4.450B,,16.350B,Wednesday,20240918,CAD16714
16718,12:30:00,CAD,Core Retail Sales (MoM) (Jul),0.004,0.002,0.003,Friday,20240920,CAD16718
16719,12:30:00,CAD,IPPI (YoY) (Aug),0.002,,0.028,Friday,20240920,CAD16719
16720,12:30:00,CAD,IPPI (MoM) (Aug),-0.008,-0.003,-0.001,Friday,20240920,CAD16720
16721,12:30:00,CAD,Retail Sales (MoM) (Jul),0.009,0.005,-0.002,Friday,20240920,CAD16721
16722,12:30:00,CAD,RMPI (MoM) (Aug),-0.031,-0.02,0.007,Friday,20240920,CAD16722
16723,12:30:00,CAD,RMPI (YoY) (Aug),-0.025,,0.041,Friday,20240920,CAD16723
16724,19:30:00,CAD,CFTC CAD speculative net positions,-73.2K,,-69.0K,Friday,20240920,CAD16724
16726,12:30:00,CAD,New Housing Price Index (MoM) (Aug),0,0.001,0.002,Monday,20240923,CAD16726
16728,12:30:00,CAD,Manufacturing Sales (MoM),-0.015,,0.014,Tuesday,20240924,CAD16728
16731,12:30:00,CAD,Average Weekly Earnings (YoY) (Jul),0.0448,,0.0416,Thursday,20240926,CAD16731
16732,12:30:00,CAD,Wholesale Sales (MoM),-0.011,,0.004,Thursday,20240926,CAD16732
16734,12:30:00,CAD,GDP (MoM) (Jul),0.002,0,0,Friday,20240927,CAD16734
16735,12:31:00,CAD,GDP (MoM) (Aug),0,,0.002,Friday,20240927,CAD16735
16736,15:00:00,CAD,Budget Balance (YoY) (Jul),-7.30B,,-2.88B,Friday,20240927,CAD16736
16737,15:00:00,CAD,Budget Balance (Jul),-4.40B,,0.94B,Friday,20240927,CAD16737
16738,19:30:00,CAD,CFTC CAD speculative net positions,-65.6K,,-73.2K,Friday,20240927,CAD16738
